"353","1","112.406153,28.538078;112.401935,28.538095;112.400285,28.538108;112.398385,28.538125;112.3975,28.538123;112.393893,28.53821;112.389693,28.538273;112.386511,28.538371;112.386511,28.538371;112.386511,28.538371;112.386511,28.538371;112.384185,28.53842;112.380271,28.53849;112.376943,28.538588;112.375563,28.538615;112.371643,28.538706;112.367555,28.539138;112.366838,28.539321;112.366823,28.539326;112.365501,28.539678;112.361416,28.540436;112.357086,28.540958;112.353481,28.541396;112.352735,28.542478;112.353178,28.545501;112.353755,28.549238;112.354226,28.552581;112.354365,28.553495;112.354813,28.556306;112.354965,28.557186;112.354983,28.557278;112.354983,28.557278;112.355233,28.559161;112.355776,28.562695;112.355836,28.56311;112.355836,28.56311;112.356216,28.56547;112.356341,28.566496;112.356631,28.568468;112.356631,28.568468;112.356631,28.568468;112.356628,28.568475;112.35704,28.571456;112.357398,28.573421;112.357588,28.574766;112.357938,28.576865;112.358565,28.579431;112.359673,28.58244;112.360058,28.583401;112.360058,28.583401;112.358923,28.58406;112.355366,28.585021;112.354338,28.58518;112.353011,28.585211;112.35173,28.585023;112.351026,28.584853;112.351003,28.584838;112.350658,28.58474;112.349131,28.584061;112.349105,28.58406;112.349105,28.58406;112.347763,28.583505;112.347175,28.583305;112.344746,28.583361;112.342023,28.583726;112.33857,28.584448;112.337331,28.584695;112.336561,28.584878;112.336561,28.584878;112.33521,28.585183;112.334088,28.585426;112.334088,28.585426;112.333648,28.585408;112.33208,28.585395;112.33137,28.587318;112.33079,28.590128;112.330205,28.593013;112.329621,28.596038;112.329361,28.597446;112.329355,28.597465;112.329355,28.597465;112.329086,28.598571;112.328746,28.600508;112.328746,28.600508;112.328746,28.600508;112.328746,28.600508;112.329055,28.601638;112.332391,28.60273;112.33361,28.603088;112.33361,28.603088;112.33377,28.603165;112.335701,28.603906;112.335556,28.604481;112.335546,28.604503;112.335496,28.604593;112.334658,28.606446;112.333698,28.608668;112.332768,28.611625;112.332651,28.614388;112.336763,28.614663;112.338093,28.61471;112.338093,28.61471;112.338135,28.614708;112.340876,28.614905;112.344745,28.61512;112.344836,28.61511;112.344858,28.61511;112.345476,28.615136;112.347951,28.612678;112.350273,28.609681;112.350778,28.609085;112.351981,28.609046;112.355961,28.609975;112.360165,28.610805"
"353","2","112.358965,28.6107;112.356685,28.610283;112.35351,28.609581;112.350465,28.609616;112.348608,28.612045;112.346998,28.614146;112.346361,28.614976;112.344341,28.615281;112.342048,28.61511;112.339895,28.615018;112.336823,28.614733;112.333691,28.614495;112.333538,28.614483;112.332506,28.61438;112.33249,28.613046;112.332958,28.61038;112.334101,28.607708;112.335003,28.605663;112.335461,28.60451;112.333823,28.60333;112.333028,28.60312;112.331296,28.602498;112.329041,28.60179;112.328936,28.601736;112.328468,28.60156;112.32851,28.600546;112.328596,28.600071;112.32888,28.598841;112.329171,28.597503;112.329268,28.59699;112.329268,28.59699;112.32928,28.596961;112.329781,28.595085;112.330246,28.592856;112.330726,28.590485;112.331193,28.588238;112.331811,28.585406;112.334296,28.585275;112.336981,28.584723;112.337433,28.584616;112.34058,28.583933;112.344356,28.583281;112.344895,28.583141;112.344895,28.583141;112.345365,28.583068;112.34703,28.58311;112.348235,28.583521;112.348235,28.583521;112.348235,28.583521;112.349955,28.58432;112.350588,28.584538;112.350588,28.584538;112.350588,28.584538;112.352181,28.585033;112.35281,28.585098;112.355448,28.584898;112.355448,28.584898;112.355448,28.584898;112.356021,28.584816;112.358646,28.584041;112.359618,28.583746;112.359455,28.582138;112.359455,28.582138;112.359455,28.582138;112.358743,28.580141;112.358215,28.578803;112.358215,28.578803;112.357795,28.577341;112.357795,28.577341;112.357795,28.577341;112.357726,28.576768;112.357288,28.57389;112.35705,28.572641;112.35705,28.572641;112.35705,28.572641;112.356993,28.571238;112.356536,28.569085;112.356531,28.569073;112.356346,28.567668;112.355988,28.565608;112.355988,28.565608;112.355988,28.565608;112.355855,28.564511;112.35572,28.563805;112.355466,28.562035;112.355455,28.561973;112.355455,28.561973;112.355233,28.560315;112.354741,28.55738;112.354741,28.55738;112.354741,28.55738;112.35463,28.556291;112.35434,28.554173;112.3542,28.55304;112.35413,28.552645;112.353676,28.550236;112.353676,28.550236;112.353676,28.550236;112.353628,28.549783;112.353628,28.549783;112.35334,28.547876;112.352831,28.54467;112.352831,28.54467;112.352831,28.54467;112.352651,28.543061;112.352476,28.541641;112.352476,28.541641;112.352476,28.541641;112.354831,28.540975;112.355145,28.54094;112.35783,28.540623;112.359445,28.54043;112.36258,28.540058;112.362888,28.540021;112.36335,28.539958;112.363965,28.539845;112.364421,28.539736;112.368258,28.538746;112.371046,28.538446;112.371046,28.538446;112.371046,28.538446;112.37273,28.538471;112.373365,28.53845;112.374158,28.538418;112.377745,28.538365;112.379536,28.538343;112.38012,28.538316;112.381153,28.538256;112.381153,28.538256;112.38223,28.538186;112.38223,28.538186;112.38223,28.538186;112.384013,28.538195;112.385993,28.538136;112.385993,28.538136;112.385993,28.538136;112.389506,28.53811;112.390685,28.538068;112.391963,28.538023;112.392731,28.538001;112.393043,28.537993;112.394103,28.53797;112.395475,28.537936;112.39688,28.537911;112.398591,28.537891;112.400526,28.537821;112.400526,28.537821;112.400993,28.53784;112.402238,28.537875"
"354","1","112.391308,28.564905;112.3908,28.565465;112.390736,28.565508;112.389346,28.5669;112.388055,28.56806;112.387438,28.568675;112.385656,28.570118;112.384845,28.570635;112.382956,28.57184;112.381553,28.572775;112.379893,28.573898;112.379633,28.57406;112.379633,28.57406;112.379633,28.57406;112.379633,28.57406;112.379633,28.57406;112.378605,28.574731;112.377673,28.575281;112.376396,28.576158;112.376396,28.576158;112.376396,28.576158;112.374891,28.57709;112.3732,28.578011;112.371941,28.57852;112.370365,28.579281;112.369591,28.57964;112.368043,28.580396;112.367076,28.580936;112.367076,28.580936;112.36704,28.580943;112.366396,28.581195;112.364371,28.582203;112.363381,28.582618;112.363381,28.582618;112.363381,28.582618;112.361671,28.583161;112.361345,28.583255;112.359276,28.583881;112.358213,28.58423;112.358213,28.58423;112.358213,28.58423;112.357056,28.584571;112.35507,28.584996;112.35507,28.584996;112.35507,28.584996;112.35364,28.585191;112.352895,28.585133;112.350988,28.584821;112.350988,28.584821;112.350988,28.584821;112.350715,28.584676;112.349058,28.583988;112.349058,28.583988;112.349058,28.583988;112.348826,28.583906;112.348563,28.583796;112.348563,28.583796;112.34842,28.583728;112.347961,28.583531;112.347961,28.583531;112.347961,28.583531;112.347961,28.583531;112.34715,28.583263;112.347055,28.583228;112.347055,28.583228;112.347055,28.583228;112.34554,28.58322;112.345365,28.58324;112.345365,28.58324;112.345365,28.58324;112.344421,28.583295;112.34183,28.583748;112.34183,28.583748;112.34183,28.583748;112.341631,28.58379;112.338425,28.584425;112.336946,28.58478;112.336873,28.584798;112.336873,28.584798;112.33593,28.584991;112.334591,28.585293;112.334591,28.585293;112.334591,28.585293;112.33414,28.585318;112.33414,28.585318;112.334003,28.585325;112.333201,28.58533;112.333201,28.58533;112.332998,28.585313;112.331731,28.585473;112.331196,28.588175;112.330545,28.591365;112.329931,28.594316;112.330405,28.594715;112.330516,28.59414;112.330516,28.59414;112.330516,28.59414;112.330121,28.594086;112.329911,28.594031;112.328735,28.59387;112.326665,28.593666;112.325271,28.593531;112.325271,28.593531;112.325271,28.593531;112.324418,28.593413;112.323833,28.593375;112.321711,28.59345;112.321663,28.593461;112.321663,28.593461;112.321236,28.593455;112.319065,28.593896;112.318948,28.593931;112.318948,28.593931;112.318495,28.594031;112.317921,28.594175;112.31613,28.594266"
"354","2","112.315825,28.594275;112.315903,28.594275;112.315903,28.594275;112.315903,28.594275;112.315903,28.594275;112.316958,28.594276;112.317513,28.594261;112.31823,28.594103;112.319665,28.593748;112.321961,28.593456;112.323986,28.59347;112.324881,28.593531;112.326943,28.593816;112.32836,28.59395;112.32836,28.59395;112.32836,28.59395;112.328616,28.593996;112.329123,28.594035;112.329368,28.595175;112.33,28.59398;112.330715,28.590455;112.331415,28.587055;112.331703,28.58565;112.333196,28.585321;112.334188,28.58533;112.334188,28.58533;112.334188,28.58533;112.336015,28.585041;112.337016,28.584723;112.337016,28.584723;112.337045,28.58472;112.3392,28.584263;112.34051,28.583945;112.342695,28.583673;112.344781,28.583171;112.344781,28.583171;112.344781,28.583171;112.346168,28.583103;112.347385,28.583301;112.348095,28.583538;112.348095,28.583538;112.348095,28.583538;112.3493,28.584068;112.350443,28.584521;112.350443,28.584521;112.350443,28.584521;112.352191,28.585008;112.352191,28.585008;112.354555,28.585095;112.355275,28.584968;112.355275,28.584968;112.355275,28.584968;112.357675,28.584398;112.35844,28.584156;112.35844,28.584156;112.358721,28.584101;112.359656,28.583851;112.359656,28.583851;112.36061,28.583526;112.363391,28.582575;112.364941,28.581971;112.367263,28.580881;112.367281,28.58088;112.367281,28.58088;112.36776,28.58068;112.370578,28.579171;112.370765,28.579081;112.370765,28.579081;112.37203,28.578553;112.374315,28.577533;112.375468,28.576805;112.376133,28.576308;112.376133,28.576308;112.376491,28.576071;112.378621,28.57464;112.378655,28.574625;112.380488,28.573373;112.380553,28.573313;112.380553,28.573313;112.381593,28.57269;112.384735,28.570643;112.38611,28.569701;112.38611,28.569701;112.38665,28.569265;112.388156,28.567808;112.38944,28.566166;112.391566,28.566151;112.392681,28.565811"
"355","1","112.357695,28.5945;112.356548,28.593663;112.354591,28.592541;112.352858,28.591586;112.350728,28.590386;112.35052,28.589423;112.350878,28.588623;112.35192,28.586628;112.352376,28.58538;112.350998,28.58487;112.350086,28.584465;112.349075,28.584085;112.349075,28.584085;112.349075,28.584085;112.348551,28.583885;112.346903,28.583228;112.346883,28.583228;112.346883,28.583228;112.346883,28.583228;112.346561,28.582691;112.346698,28.580941;112.346803,28.579298;112.346853,28.578203;112.346853,28.578203;112.346821,28.577131;112.346825,28.577098;112.346826,28.576933;112.346963,28.575318;112.347016,28.574553;112.347016,28.574553;112.347016,28.574553;112.347056,28.573643;112.34711,28.571985;112.347165,28.57067;112.347255,28.570221;112.347301,28.56869;112.347353,28.567763;112.347421,28.566266;112.347498,28.564945;112.347425,28.563175;112.347281,28.562473;112.347281,28.562473;112.347231,28.562001;112.346765,28.55933;112.346708,28.559208;112.346708,28.559208;112.346518,28.558061;112.346386,28.555203;112.346385,28.555096;112.346385,28.555096;112.346455,28.554546;112.346456,28.553416;112.346565,28.551586;112.346565,28.551501;112.346565,28.551501;112.346551,28.551083;112.346105,28.548235;112.345831,28.547293;112.345831,28.547293;112.345831,28.547293;112.345721,28.546343;112.345693,28.544001;112.345693,28.544001;112.345693,28.544001;112.345718,28.542473;112.345718,28.542473;112.345718,28.542473;112.345718,28.542473;112.345791,28.540868;112.345835,28.537748;112.345821,28.53554;112.34503,28.532823;112.343021,28.530711;112.341623,28.530011;112.338065,28.529291;112.33785,28.529261;112.33785,28.529261;112.336328,28.528995;112.333473,28.52864;112.330665,28.528635;112.330665,28.528635;112.330665,28.528635;112.327675,28.528768;112.327531,28.528776;112.323598,28.529023;112.323325,28.529043;112.320825,28.529406;112.320275,28.529545;112.319528,28.529786;112.319401,28.52982;112.319401,28.52982;112.318643,28.53007;112.316018,28.531351;112.313235,28.533496"
"355","2","112.31196,28.53475;112.313345,28.533236;112.315941,28.531253;112.318143,28.530141;112.318266,28.53009;112.319451,28.529668;112.322918,28.528966;112.326888,28.528715;112.327581,28.528668;112.328881,28.528586;112.330868,28.528485;112.330918,28.528483;112.330918,28.528483;112.332576,28.52853;112.336113,28.528878;112.33825,28.529156;112.341458,28.529835;112.34448,28.531876;112.345888,28.535025;112.345936,28.536338;112.345913,28.539226;112.345896,28.541521;112.345895,28.542283;112.3459,28.543671;112.345865,28.546216;112.346315,28.548301;112.346448,28.548921;112.346806,28.551051;112.346736,28.552358;112.346676,28.553208;112.346573,28.555471;112.346525,28.556291;112.34674,28.558155;112.346928,28.559271;112.347318,28.561525;112.347475,28.562361;112.347475,28.562361;112.34752,28.562598;112.347655,28.56524;112.34754,28.567411;112.347513,28.568981;112.347458,28.57085;112.347465,28.570955;112.347465,28.570955;112.347381,28.571676;112.34719,28.573748;112.347161,28.574368;112.347161,28.574368;112.347161,28.574368;112.347126,28.575136;112.347065,28.576061;112.347065,28.576061;112.347048,28.576653;112.346973,28.577621;112.346973,28.577621;112.346973,28.577621;112.346875,28.57969;112.34679,28.581635;112.346723,28.582688;112.346921,28.583058;112.348225,28.583488;112.348225,28.583488;112.348225,28.583488;112.349288,28.584016;112.35059,28.584536;112.35059,28.584536;112.350621,28.584555;112.352361,28.585045;112.352025,28.586278;112.351158,28.588298;112.35088,28.58893;112.35088,28.58893;112.350728,28.58916;112.351101,28.590521;112.352935,28.59157;112.355355,28.592928;112.355835,28.593295;112.355835,28.593295;112.356096,28.593466"
"356","1","112.314985,28.617908;112.315361,28.617323;112.31675,28.614946;112.317753,28.613196;112.318941,28.61105;112.32017,28.608236;112.320068,28.607805;112.31976,28.605893;112.319451,28.603996;112.319276,28.603075;112.318976,28.601276;112.318928,28.60114;112.318798,28.600515;112.318798,28.600515;112.318786,28.600363;112.318505,28.598471;112.318281,28.597076;112.318106,28.596038;112.318106,28.596038;112.318106,28.596038;112.317791,28.594263;112.31822,28.594066;112.320401,28.593565;112.321498,28.593436;112.323521,28.593393;112.324841,28.593458;112.324841,28.593458;112.324841,28.593458;112.325928,28.593655;112.328046,28.593813;112.32829,28.59386;112.32829,28.59386;112.32829,28.59386;112.328358,28.593883;112.328883,28.593918;112.329001,28.593903;112.329103,28.593913;112.329103,28.593913;112.329103,28.593913;112.329578,28.594048;112.329388,28.595186;112.330175,28.593256;112.330805,28.590163;112.331461,28.586978;112.33197,28.584563;112.332485,28.583755;112.332485,28.583755;112.332485,28.583755;112.333483,28.582541;112.334195,28.58111;112.334215,28.580996;112.334241,28.580603;112.334241,28.580603;112.334261,28.580423;112.334508,28.578396;112.334736,28.577691;112.334736,28.577691;112.334856,28.57739;112.335606,28.575451;112.336066,28.574185;112.33655,28.572863;112.33655,28.572863;112.33655,28.572863;112.337123,28.571385;112.337276,28.570958;112.337276,28.570958;112.337436,28.57045;112.33745,28.570283;112.33759,28.56893;112.337558,28.568481;112.337558,28.568481;112.33757,28.56828;112.337486,28.566301;112.337486,28.56628;112.337486,28.56628;112.337516,28.565351;112.337535,28.563713;112.338886,28.563593;112.338886,28.563593;112.338886,28.563593;112.340518,28.563708;112.343455,28.563806;112.345778,28.563828;112.345778,28.563828;112.345778,28.563828;112.347016,28.563881;112.347978,28.563828;112.349273,28.563761;112.349273,28.563761;112.349273,28.563761;112.34972,28.563743;112.352163,28.563586;112.353676,28.563441;112.353738,28.56344;112.353738,28.56344;112.35502,28.563368;112.35548,28.561996;112.355096,28.559246;112.354836,28.557771;112.354836,28.557771;112.354836,28.557771;112.352951,28.556683;112.352458,28.556711;112.351638,28.556756;112.348346,28.556878;112.346283,28.556988;112.343851,28.557011;112.343541,28.557028;112.342521,28.557088;112.342435,28.55709;112.342435,28.55709;112.340848,28.557108;112.34035,28.557121;112.339543,28.557106;112.337541,28.55714;112.337081,28.55456;112.337058,28.554221;112.337058,28.554221;112.33706,28.553935;112.337,28.552046;112.336908,28.550383;112.336815,28.549253;112.336815,28.549253;112.336815,28.549253;112.336703,28.54783;112.336693,28.547691;112.336641,28.546868;112.336615,28.546451;112.336605,28.546315;112.336595,28.546178;112.336546,28.545626;112.336426,28.544708;112.336426,28.544708;112.336416,28.544591;112.335953,28.542845;112.335728,28.54241"
"356","2","112.3374,28.542371;112.336786,28.543163;112.336733,28.545185;112.336786,28.546415;112.336841,28.546975;112.33693,28.548428;112.336966,28.548848;112.336985,28.548978;112.33711,28.550446;112.337253,28.5536;112.337351,28.556283;112.337355,28.556443;112.337973,28.557051;112.340176,28.556975;112.341181,28.556953;112.341966,28.556906;112.342426,28.55689;112.342736,28.55688;112.34447,28.55683;112.34617,28.55671;112.348241,28.556708;112.35266,28.556615;112.354315,28.55657;112.354375,28.556565;112.355041,28.557568;112.355576,28.561195;112.355738,28.563108;112.355738,28.563108;112.35577,28.563248;112.354588,28.563496;112.353846,28.563531;112.353225,28.563566;112.350663,28.563738;112.348735,28.563883;112.347973,28.563961;112.347973,28.563961;112.347608,28.563986;112.346388,28.563963;112.346388,28.563963;112.346388,28.563963;112.343916,28.563825;112.341238,28.563751;112.337865,28.563663;112.337728,28.566128;112.337771,28.567646;112.337815,28.568508;112.337815,28.568508;112.33782,28.568588;112.337686,28.570601;112.33714,28.571836;112.336103,28.574668;112.335271,28.57695;112.33468,28.578525;112.334396,28.580693;112.33428,28.581728;112.332756,28.583745;112.332756,28.583745;112.331975,28.584873;112.331605,28.586315;112.330918,28.589621;112.330281,28.592725;112.329886,28.595278;112.3304,28.594155;112.330288,28.594145;112.330288,28.594145;112.329295,28.593951;112.326848,28.593725;112.325176,28.593558;112.325176,28.593558;112.325176,28.593558;112.32351,28.593391;112.320916,28.593478;112.318821,28.593998;112.318821,28.593998;112.318821,28.593998;112.317885,28.595006;112.318073,28.59619;112.318073,28.59619;112.318093,28.596375;112.318531,28.598796;112.318975,28.601061;112.31934,28.603175;112.31934,28.603175;112.31934,28.603175;112.319786,28.606065;112.32013,28.60786;112.32013,28.60786;112.320238,28.608541;112.318998,28.611091;112.318998,28.611091;112.318998,28.611091;112.31822,28.61245;112.316908,28.614741;112.315668,28.616848;112.31495,28.618093"
"360","1","112.39188,28.564321;112.390835,28.56546;112.390835,28.56546;112.390288,28.566128;112.389028,28.567128;112.387843,28.568345;112.387115,28.569083;112.387035,28.569161;112.385401,28.570305;112.38322,28.571675;112.380591,28.573406;112.37862,28.574763;112.376648,28.576023;112.375931,28.576495;112.373843,28.577715;112.371973,28.578528;112.370066,28.579458;112.370043,28.57947;112.370043,28.57947;112.369931,28.579503;112.367471,28.580765;112.365083,28.581948;112.363816,28.582473;112.36239,28.582936;112.360916,28.583401;112.35912,28.58398;112.358188,28.58426;112.358188,28.58426;112.357251,28.584506;112.35519,28.585023;112.35519,28.585023;112.355153,28.585033;112.352905,28.585138;112.35117,28.584888;112.35117,28.584888;112.35117,28.584888;112.35117,28.584888;112.35117,28.584888;112.35028,28.584543;112.348966,28.58406;112.348966,28.58406;112.348966,28.58406;112.348058,28.583661;112.346866,28.583285;112.346866,28.583285;112.34574,28.583268;112.34532,28.583306;112.34532,28.583306;112.344711,28.583373;112.342026,28.583765;112.338843,28.584355;112.33685,28.584848;112.33685,28.584848;112.33685,28.584848;112.335476,28.58514;112.334136,28.585431;112.334136,28.585431;112.334136,28.585431;112.332666,28.585416;112.331563,28.586318;112.331095,28.588741;112.330603,28.591121;112.330073,28.593613;112.329701,28.595616;112.329395,28.597395;112.329381,28.597448;112.329381,28.597448;112.329381,28.597448;112.329381,28.597448;112.329073,28.598521;112.328788,28.600188;112.328711,28.600608;112.328711,28.600608;112.328711,28.600608;112.328593,28.601088;112.328486,28.601526;112.328161,28.602765;112.328145,28.603073;112.328145,28.603073;112.328093,28.603291;112.327816,28.605208;112.327698,28.605951;112.327698,28.605951;112.327505,28.606695;112.326938,28.609431;112.326363,28.612295;112.326363,28.612295;112.326363,28.612295;112.326146,28.613201;112.32598,28.613798;112.32598,28.613798;112.32598,28.613798;112.325725,28.615028;112.325048,28.618036;112.32493,28.618603;112.324708,28.619715;112.324321,28.621633;112.324321,28.621633;112.324321,28.621633;112.323773,28.623588;112.322871,28.626875;112.32205,28.630113;112.32201,28.630383;112.321895,28.631053;112.32172,28.63232;112.321553,28.634058;112.321428,28.63855;112.32141,28.639098;112.321361,28.640033;112.32128,28.641005;112.321251,28.64128;112.321051,28.642715;112.320833,28.643975;112.320665,28.644768;112.320173,28.646733;112.318665,28.65102;112.318326,28.651805;112.317595,28.653665;112.317206,28.654765;112.31687,28.655836;112.316163,28.658565;112.315558,28.662073;112.315543,28.662208;112.315543,28.662208;112.315228,28.664458;112.315228,28.664458;112.315061,28.666151;112.314828,28.668333;112.314805,28.668776;112.314805,28.668776;112.314646,28.669876;112.314521,28.670805;112.314136,28.67427;112.313676,28.6784;112.313658,28.678535;112.313558,28.679355;112.313558,28.679355;112.313455,28.679838;112.313185,28.681138;112.313136,28.681411;112.312685,28.68352;112.312113,28.685635;112.312113,28.685635;112.312113,28.685635;112.311856,28.68649;112.313411,28.68866"
"360","2","112.30898,28.689486;112.310071,28.690986;112.311245,28.687916;112.312281,28.684618;112.31308,28.681186;112.313405,28.679451;112.313848,28.676085;112.31394,28.675268;112.314056,28.674165;112.314231,28.672415;112.314635,28.668966;112.314731,28.668021;112.315098,28.66493;112.315538,28.661268;112.316271,28.65772;112.317333,28.654205;112.318581,28.651028;112.31898,28.649981;112.319986,28.647078;112.320765,28.64381;112.321261,28.640175;112.321395,28.636536;112.321526,28.632986;112.321681,28.631746;112.321703,28.631645;112.32192,28.630325;112.322493,28.627883;112.322991,28.626126;112.32385,28.623138;112.32424,28.621366;112.32447,28.620308;112.325066,28.617526;112.325385,28.616006;112.325891,28.613155;112.3262,28.61161;112.326535,28.609865;112.327083,28.607276;112.327363,28.605826;112.327363,28.605826;112.327365,28.605823;112.327781,28.604385;112.328133,28.602805;112.32817,28.602293;112.32817,28.602293;112.32817,28.602293;112.32817,28.602238;112.328451,28.600813;112.328488,28.600573;112.328813,28.599183;112.32924,28.597141;112.329278,28.596978;112.329278,28.596978;112.329345,28.596666;112.329725,28.595248;112.33018,28.593008;112.330721,28.590431;112.331208,28.58815;112.331711,28.585656;112.333175,28.585321;112.334095,28.585301;112.334095,28.585301;112.33417,28.5853;112.336666,28.584838;112.337041,28.584735;112.339058,28.584318;112.340526,28.58395;112.340531,28.583925;112.341038,28.58384;112.344238,28.583285;112.344823,28.583205;112.344823,28.583205;112.345766,28.583071;112.346101,28.583061;112.346415,28.583063;112.348086,28.58355;112.348116,28.583561;112.348116,28.583561;112.34857,28.58376;112.350448,28.584576;112.350448,28.584576;112.350448,28.584576;112.351651,28.584978;112.353718,28.585195;112.355226,28.584983;112.355226,28.584983;112.355226,28.584983;112.357343,28.584491;112.35833,28.584158;112.35833,28.584158;112.358585,28.58412;112.359801,28.583703;112.359801,28.583703;112.359801,28.583703;112.359801,28.583703;112.359801,28.583703;112.360991,28.583338;112.36281,28.582755;112.36281,28.582755;112.363075,28.5827;112.364818,28.582028;112.364818,28.582028;112.364818,28.582028;112.367048,28.580955;112.367275,28.58086;112.368151,28.580446;112.370593,28.579195;112.37074,28.579116;112.37074,28.579116;112.372801,28.578228;112.374578,28.57729;112.376041,28.576343;112.376058,28.576333;112.376115,28.576293;112.378113,28.574998;112.378525,28.574735;112.378525,28.574735;112.380363,28.573488;112.380406,28.573458;112.380406,28.573458;112.381656,28.572673;112.382201,28.572305;112.382201,28.572305;112.38319,28.571665;112.385635,28.570005;112.385635,28.570005;112.385635,28.570005;112.386,28.569766;112.387963,28.568045;112.390111,28.566163;112.39276,28.565573;112.39299,28.565203"
